N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"87,500",500,+0.57%,100,"5,223,560","5,969,783",55.54,"22,635,168",23.89,8.69,
2,SK하이닉스,"131,000",500,+0.38%,"5,000","953,683","728,002",50.17,"4,327,681",33.23,4.25,
3,LG화학,"1,000,000","3,000",+0.30%,"5,000","705,923","70,592",43.60,"321,834",93.43,1.84,
4,삼성전자우,"77,100",700,+0.92%,100,"634,446","822,887",80.33,"2,577,179",21.05,N/A,
5,현대차,"260,500","1,000",-0.38%,"5,000","556,606","213,668",31.16,"5,006,333",62.25,4.32,
6,삼성바이오로직스,"799,000","3,000",+0.38%,"2,500","528,658","66,165",10.35,"86,298",148.76,4.77,
7,삼성SDI,"741,000","9,000",+1.23%,"5,000","509,545","68,765",44.17,"374,414",252.81,2.94,
8,NAVER,"308,500",500,+0.16%,100,"506,753","164,263",56.52,"809,820",61.42,10.56,
9,셀트리온,"310,500","2,000",-0.64%,"1,000","419,168","134,998",20.59,"1,253,949",83.92,11.19,
10,카카오,"444,500","4,500",+1.02%,500,"393,391","88,502",33.68,"541,768",-493.34,-5.81,
11,기아차,"90,000","6,600",+7.91%,"5,000","364,827","405,363",37.12,"25,095,203",41.82,6.50,
12,현대모비스,"344,000","1,000",-0.29%,"5,000","326,988","95,055",42.28,"1,206,851",20.98,7.28,
13,삼성물산,"142,500","1,500",-1.04%,100,"266,314","186,887",14.97,"1,090,249",23.87,4.77,
14,LG전자,"160,500","12,500",+8.45%,"5,000","262,655","163,648",34.51,"8,093,889",34.86,0.22,
15,SK이노베이션,"274,000","4,000",+1.48%,"5,000","253,356","92,466",23.97,"1,406,221",-10.42,-0.20,
16,LG생활건강,"1,563,000","12,000",+0.77%,"5,000","244,112","15,618",45.56,"45,367",35.02,20.32,
17,POSCO,"271,500",500,+0.18%,"5,000","236,712","87,187",51.09,"296,864",24.87,4.18,
18,SK,"336,000","27,000",+8.74%,200,"236,411","70,360",22.03,"1,262,907","1,417.72",4.31,
19,엔씨소프트,"962,000","5,000",+0.52%,500,"211,198","21,954",49.36,"80,183",37.64,14.72,
20,SK텔레콤,"248,000","3,000",+1.22%,500,"200,249","80,746",34.50,"399,004",18.26,3.92,
21,KB금융,"45,100",100,-0.22%,"5,000","187,529","415,808",66.40,"1,687,416",5.50,8.92,
22,LG,"106,000","3,000",+2.91%,"5,000","182,911","172,557",34.84,"614,886",14.98,5.87,
23,신한지주,"33,050",0,0.00%,"5,000","170,712","516,527",58.06,"2,504,640",4.74,9.09,
24,한국전력,"24,800",150,-0.60%,"5,000","159,207","641,964",17.40,"4,354,951",172.22,-3.42,
25,삼성생명,"78,300","1,300",-1.63%,500,"156,600","200,000",12.35,"795,446",15.73,3.26,
26,삼성전기,"208,500","1,500",+0.72%,"5,000","155,736","74,694",35.58,"761,006",42.72,10.18,
27,삼성에스디에스,"199,500",500,-0.25%,500,"154,369","77,378",11.85,"267,438",29.45,11.76,
28,아모레퍼시픽,"227,500","4,500",+2.02%,500,"132,993","58,458",32.72,"385,367",365.76,5.36,
29,SK바이오팜,"147,500",500,-0.34%,500,"115,512","78,313",4.94,"208,903",-134.09,-313.66,
30,하나금융지주,"37,250","1,000",-2.61%,"5,000","111,840","300,242",67.24,"1,969,082",4.56,8.77,
31,KT&G,"80,900",100,-0.12%,"5,000","111,070","137,292",40.44,"543,909",11.29,12.39,
32,넷마블,"120,000",500,-0.41%,100,"103,054","85,878",22.77,"293,475",48.60,3.54,
33,롯데케미칼,"294,000","1,500",+0.51%,"5,000","100,770","34,275",26.57,"196,013",86.91,5.51,
34,한온시스템,"17,950",300,+1.70%,100,"95,817","533,800",20.23,"1,776,676",68.25,14.98,
35,한화솔루션,"57,400","2,200",+3.99%,"5,000","91,762","159,864",19.61,"4,005,100",-105.32,-4.02,
36,삼성화재,"181,500","1,500",-0.82%,500,"85,985","47,375",44.71,"186,211",13.27,4.85,
37,S-Oil,"72,400","1,200",-1.63%,"2,500","81,510","112,583",75.93,"575,956",-9.71,1.01,
38,포스코케미칼,"132,500","4,500",+3.52%,500,"80,809","60,988",7.32,"435,054",297.75,11.57,
39,고려아연,"419,500","1,500",+0.36%,"5,000","79,160","18,870",23.35,"61,652",14.13,9.76,
40,LG디스플레이,"21,150",150,+0.71%,"5,000","75,678","357,816",23.71,"3,179,277",-3.08,-22.35,
41,한국조선해양,"106,500","4,000",-3.62%,"5,000","75,373","70,773",16.41,"659,324",352.65,1.40,
42,현대글로비스,"187,500","1,500",-0.79%,500,"70,312","37,500",35.10,"307,475",10.54,11.25,
43,우리금융지주,"9,710",190,-1.92%,"5,000","70,132","722,268",25.16,"2,344,207",5.21,N/A,
44,CJ제일제당,"436,000","1,000",-0.23%,"5,000","65,636","15,054",24.59,"62,186",9.05,3.16,
45,미래에셋대우,"9,890",110,-1.10%,"5,000","63,822","645,316",14.86,"2,591,955",10.33,7.56,
46,기업은행,"8,570",60,-0.70%,"5,000","63,304","738,664",10.46,"2,068,358",4.38,7.36,
47,빅히트,"176,000","2,500",+1.44%,500,"62,698","35,624",3.97,"392,418",N/A,56.47,
48,KT,"23,750",50,+0.21%,"5,000","62,014","261,112",43.86,"1,250,186",10.12,4.61,
49,현대제철,"45,950",550,+1.21%,"5,000","61,318","133,446",19.70,"1,421,026",-24.89,0.10,
50,대한항공,"32,150",450,+1.42%,"5,000","56,008","174,210",12.16,"2,609,137",-7.33,-22.09,
51,KODEX 200,"43,010",355,+0.83%,0,"55,139","128,200",13.75,"8,373,952",N/A,N/A,
52,코웨이,"73,100",900,-1.22%,500,"53,948","73,800",60.94,"258,768",15.11,30.74,
53,한미사이언스,"80,500","5,100",+6.76%,500,"53,139","66,011",1.60,"318,939",365.91,4.73,
54,강원랜드,"24,550",50,-0.20%,500,"52,522","213,940",22.48,"648,953",-27.65,9.16,
55,금호석유,"171,500","6,500",+3.94%,"5,000","52,252","30,468",28.92,"242,238",14.67,11.84,
56,LG유플러스,"11,950",100,-0.83%,"5,000","52,175","436,611",30.59,"2,205,632",6.58,6.30,
57,한국타이어앤테크놀로지,"42,000","1,100",+2.69%,500,"52,028","123,875",40.28,"445,275",20.21,6.03,
58,신풍제약,"98,100","1,300",+1.34%,500,"51,978","52,985",11.32,"2,006,399","2,725.00",0.80,
59,아모레G,"62,600","1,500",+2.45%,500,"51,619","82,458",19.97,"204,953",221.20,4.12,
60,현대건설,"45,200",50,+0.11%,"5,000","50,333","111,356",19.09,"1,500,080",22.04,6.30,
61,유한양행,"73,800","1,200",+1.65%,"1,000","49,340","66,857",20.11,"597,610",28.43,2.43,
62,한국금융지주,"88,100",300,+0.34%,"5,000","49,095","55,726",30.51,"327,383",8.06,18.14,
63,두산중공업,"13,100",200,-1.50%,"5,000","49,077","374,637",10.75,"2,298,443",-2.83,-14.73,
64,녹십자,"417,000","2,000",-0.48%,"5,000","48,733","11,687",20.48,"150,660",111.86,-0.35,
65,이마트,"173,500","1,500",+0.87%,"5,000","48,365","27,876",31.65,"318,461",8.66,2.76,
66,LG이노텍,"204,000","15,500",+8.22%,"5,000","48,281","23,667",32.26,"1,008,355",36.98,4.73,
67,HMM,"14,700",250,-1.67%,"5,000","48,029","326,726",7.72,"3,572,838",-47.42,-55.46,
68,오리온,"120,500",0,0.00%,500,"47,641","39,536",41.84,"93,766",17.40,14.24,
69,SK케미칼,"397,500","5,500",+1.40%,"5,000","46,672","11,741",18.71,"757,850",18.14,1.51,
70,한미약품,"368,500","18,500",+5.29%,"2,500","43,642","11,843",13.71,"66,935","-3,577.67",7.30,
71,한진칼,"65,800",600,+0.92%,"2,500","43,601","66,263",15.36,"90,941",-10.85,-17.56,
72,삼성중공업,"6,790",60,-0.88%,"5,000","42,777","630,000",15.10,"4,158,816",-3.42,-21.88,
73,현대차2우B,"116,000","1,500",-1.28%,"5,000","42,323","36,485",61.32,"269,842",27.72,N/A,
74,현대중공업지주,"266,500","1,500",-0.56%,"5,000","42,103","15,799",17.75,"52,939",-16.14,2.20,
75,SKC,"110,500",500,+0.45%,"5,000","41,844","37,868",8.12,"410,969",49.05,3.86,
76,맥쿼리인프라,"10,600",50,+0.47%,0,"39,452","372,192",13.78,"745,731",N/A,N/A,
77,CJ대한통운,"167,500","2,500",+1.52%,"5,000","38,211","22,812",21.05,"63,429",30.20,1.41,
78,LG화학우,"495,000","1,000",-0.20%,"5,000","38,060","7,689",62.54,"46,523",46.25,N/A,
79,삼성카드,"32,600",100,-0.31%,"5,000","37,770","115,859",10.72,"116,041",9.17,5.04,
80,롯데지주,"35,250",250,-0.70%,200,"36,980","104,909",11.24,"195,135",-5.16,-5.21,
81,삼성증권,"41,350",550,-1.31%,"5,000","36,926","89,300",26.25,"707,239",7.85,8.15,
82,두산퓨얼셀,"55,500","1,100",+2.02%,100,"36,349","65,494",18.38,"1,159,346",162.76,N/A,
83,GS,"38,750",100,+0.26%,"5,000","36,005","92,915",19.34,"292,082",-42.03,6.26,
84,키움증권,"149,500",500,+0.34%,"5,000","35,996","24,077",22.29,"165,960",6.60,16.97,
85,GS건설,"44,050",450,-1.01%,"5,000","35,552","80,708",27.51,"936,018",11.53,11.79,
86,만도,"75,200",0,0.00%,"1,000","35,312","46,957",25.64,"1,707,249",-63.67,7.55,
87,더존비즈온,"115,500","2,500",+2.21%,500,"34,786","30,118",46.62,"115,485",71.78,18.78,
88,쌍용양회,"6,850",10,+0.15%,100,"34,514","503,860",3.25,"1,977,652",27.51,7.02,
